"","File","RelativePath","Folder","Date","Time","ImageQuality","DeleteFlag","Note","Chamber_1","Chamber_2","Chamber_3","Chamber_4","Frame","datetime"
"1","Affiliation 20191213 01___2019-12-13_09-38-49-5030-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:38:50","Ok",FALSE,"trial start","Right","Right","Right","Right",1,2019-12-13 09:38:50
"2","Affiliation 20191213 01___2019-12-13_09-38-54-5113-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:38:56","Ok",FALSE,"","Right","Right","Right","Right",2,2019-12-13 09:38:56
"3","Affiliation 20191213 01___2019-12-13_09-38-59-5005-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:39:00","Ok",FALSE,"","Right","Right","Right","Neutral",3,2019-12-13 09:39:00
"4","Affiliation 20191213 01___2019-12-13_09-39-04-5248-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:39:06","Ok",FALSE,"","Right","Right","Right","Unknown",4,2019-12-13 09:39:06
"5","Affiliation 20191213 01___2019-12-13_09-39-09-5011-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:39:10","Ok",FALSE,"","Right","Right","Right","Left",5,2019-12-13 09:39:10
"6","Affiliation 20191213 01___2019-12-13_09-39-14-5274-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:39:16","Ok",FALSE,"","Right","Right","Right","Left",6,2019-12-13 09:39:16
"7","Affiliation 20191213 01___2019-12-13_09-39-19-5187-07-00.jpg",NA,"12/13/2019",2019-12-12,"9:32:58","Ok",FALSE,"","Right","Right","Right","Left",7,2019-12-12 09:32:58
"8","Affiliation 20191213 01___2019-12-13_09-39-24-5250-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:39:26","Ok",FALSE,"","Right","Right","Right","Left",8,2019-12-13 09:39:26
"9","Affiliation 20191213 01___2019-12-13_09-39-29-5163-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:39:30","Ok",FALSE,"","Right","Right","Right","Left",9,2019-12-13 09:39:30
"10","Affiliation 20191213 01___2019-12-13_09-39-34-5105-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:39:36","Ok",FALSE,"","Right","Right","Right","Left",10,2019-12-13 09:39:36
