File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Note,Chamber_1,Chamber_2,Chamber_3,Chamber_4,Frame
Affiliation 20191213 01___2019-12-13_09-32-56-4798-07-00.jpg,,12/13/2019,13-Dec-19,9:32:58,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-32-57-4878-07-00.jpg,,12/13/2019,13-Dec-19,9:32:58,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-32-58-4809-07-00.jpg,,12/13/2019,13-Dec-19,9:33:00,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-32-59-4899-07-00.jpg,,12/13/2019,13-Dec-19,9:33:00,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-00-4810-07-00.jpg,,12/13/2019,13-Dec-19,9:33:02,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-01-4871-07-00.jpg,,12/13/2019,13-Dec-19,9:33:02,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-02-5111-07-00.jpg,,12/13/2019,13-Dec-19,9:33:04,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-03-5052-07-00.jpg,,12/13/2019,13-Dec-19,9:33:04,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-04-5132-07-00.jpg,,12/13/2019,13-Dec-19,9:33:06,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-05-5053-07-00.jpg,,12/13/2019,13-Dec-19,9:33:06,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-06-4803-07-00.jpg,,12/13/2019,13-Dec-19,9:33:08,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-07-5054-07-00.jpg,,12/13/2019,13-Dec-19,9:33:08,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-08-4815-07-00.jpg,,12/13/2019,13-Dec-19,9:33:10,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-09-5095-07-00.jpg,,12/13/2019,13-Dec-19,9:33:10,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-10-5106-07-00.jpg,,12/13/2019,13-Dec-19,9:33:12,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-11-5016-07-00.jpg,,12/13/2019,13-Dec-19,9:33:12,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-12-4987-07-00.jpg,,12/13/2019,13-Dec-19,9:33:14,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-13-5027-07-00.jpg,,12/13/2019,13-Dec-19,9:33:14,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-14-5268-07-00.jpg,,12/13/2019,13-Dec-19,9:33:16,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-15-5029-07-00.jpg,,12/13/2019,13-Dec-19,9:33:16,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-16-5289-07-00.jpg,,12/13/2019,13-Dec-19,9:33:18,Ok,FALSE,1st fish in,,,,,
Affiliation 20191213 01___2019-12-13_09-33-17-5050-07-00.jpg,,12/13/2019,13-Dec-19,9:33:18,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-18-4970-07-00.jpg,,12/13/2019,13-Dec-19,9:33:20,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-19-5051-07-00.jpg,,12/13/2019,13-Dec-19,9:33:20,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-20-4951-07-00.jpg,,12/13/2019,13-Dec-19,9:33:22,Ok,FALSE,2nd fish in,,,,,
Affiliation 20191213 01___2019-12-13_09-33-21-5052-07-00.jpg,,12/13/2019,13-Dec-19,9:33:22,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-22-4973-07-00.jpg,,12/13/2019,13-Dec-19,9:33:24,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-23-5033-07-00.jpg,,12/13/2019,13-Dec-19,9:33:24,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-24-4934-07-00.jpg,,12/13/2019,13-Dec-19,9:33:26,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-25-5054-07-00.jpg,,12/13/2019,13-Dec-19,9:33:26,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-26-4945-07-00.jpg,,12/13/2019,13-Dec-19,9:33:28,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-27-5065-07-00.jpg,,12/13/2019,13-Dec-19,9:33:28,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-28-4956-07-00.jpg,,12/13/2019,13-Dec-19,9:33:30,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-29-5217-07-00.jpg,,12/13/2019,13-Dec-19,9:33:30,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-33-30-4977-07-00.jpg,,12/13/2019,13-Dec-19,9:33:32,Ok,FALSE,,,,,,
