,,,Water Temperature,,,,,,,,,,Time,,,,,,,,,,,,,
,Date,Trial #,Drip,FMS,RBS,Raceway #,PIT Tag,TL (mm),WT (g),Fish Sp,L variable,R variable,In,Trial Start,Trial End,Acclimation,Trial Total,,,,,,,,,
20191125,11/25/2019,1,19.5,20,19.9,1,3DD.003BEFEB8C,123,12.24,FMS,F,R,9:19:46,9:25:00,9:54:26,0:05:14,0:29:26,,,,,,,,,
20191125,11/25/2019,1,19.5,20,19.9,2,3D6.1D593D5FDD,91,4.84,FMS,R,F,9:19:46,9:25:00,9:54:26,0:05:14,0:29:26,,,,,,,,,
20191125,11/25/2019,1,19.5,20,19.9,3,3D6.1D598B0138,107,8.28,FMS,R,F,9:19:52,9:25:00,9:54:26,0:05:08,0:29:26,,,,,,,,,
20191125,11/25/2019,1,19.5,20,19.9,4,3D6.1D593D5FD1,89,4.92,FMS,F,R,9:19:58,9:25:00,9:54:26,0:05:02,0:29:26,,,,,,,,,
20191125,11/25/2019,2,19.5,20,19.9,1,3D6.1D598B00A4,90,5.56,RBS,F,R,10:06:38,10:12:26,10:50:16,0:05:48,0:37:50,,,,,,,,,
20191125,11/25/2019,2,19.5,20,19.9,2,3D6.1D598B001C,119,12.54,RBS,R,F,10:06:44,10:12:26,10:50:16,0:05:42,0:37:50,,,,,,,,,
20191125,11/25/2019,2,19.5,20,19.9,3,3D6.1D598B0069,77,3.56,RBS,R,F,10:07:24,10:12:26,10:50:16,0:05:02,0:37:50,,,,,,,,,
20191125,11/25/2019,2,19.5,20,19.9,4,3D6.1D598B007D,81,4.5,RBS,F,R,10:07:28,10:12:26,10:50:16,0:04:58,0:37:50,,,,,,,,,
20191127,11/27/2019,1,19.3,19.8,19.4,1,3D6.0015991756,108,11.23,RBS,F,R,9:22:16,9:27:26,10:06:30,0:05:10,0:39:04,,,,,,,,,
20191127,11/27/2019,1,19.3,19.8,19.4,2,3D6.1D593D5F49,112,9.66,FMS,F,R,9:22:20,9:27:26,10:06:30,0:05:06,0:39:04,,,,,,,,,
20191127,11/27/2019,1,19.3,19.8,19.4,3,3D6.1D598B0092,75,3.56,RBS,R,F,9:22:22,9:27:26,10:06:30,0:05:04,0:39:04,,,,,,,,,
20191127,11/27/2019,1,19.3,19.8,19.4,4,3D6.1D593D5FD4,103,7.05,FMS,R,F,9:22:26,9:27:26,10:06:30,0:05:00,0:39:04,,,,,,,,,
20191127,11/27/2019,2,19.3,19.8,19.4,1,3D6.1D593D5FCC,122,12.38,FMS,F,R,10:20:48,10:26:16,11:05:56,0:05:28,0:39:40,,,,,,,,,
20191127,11/27/2019,2,19.3,19.8,19.4,2,3D6.1D598B0021,86,5.35,RBS,F,R,10:20:54,10:26:16,11:05:56,0:05:22,0:39:40,,,,,,,,,
20191127,11/27/2019,2,19.3,19.8,19.4,3,3DD.003BEFEBDD,135,15.15,FMS,R,F,10:21:08,10:26:16,11:05:56,0:05:08,0:39:40,,,,,,,,,
20191127,11/27/2019,2,19.3,19.8,19.4,4,3D6.1D598AFFDD,76,3.62,RBS,R,F,10:21:16,10:26:16,11:05:56,0:05:00,0:39:40,,,,,,,,,
20191202,12/2/2019,1,19.4,19.8,19.6,1,3D6.1D598B0038,77,3.58,RBS,F,R,9:31:46,9:37:46,10:12:16,0:06:00,0:34:30,,,,,,,,,
20191202,12/2/2019,1,19.4,19.8,19.6,2,3D6.1D598B0119,90,4.78,FMS,F,R,9:31:28,9:37:46,10:12:16,0:06:18,0:34:30,,,,,,,,,
20191202,12/2/2019,1,19.4,19.8,19.6,3,3D6.1D598B007C,92,6.13,RBS,R,F,9:32:44,9:37:46,10:12:16,0:05:02,0:34:30,,,,,,,,,
20191202,12/2/2019,1,19.4,19.8,19.6,4,3D6.1D593D57D,108,8.25,FMS,F,R,9:31:32,9:37:46,10:12:16,0:06:14,0:34:30,,,,,,,,,
20191202,12/2/2019,2,19.4,19.8,19.6,1,3D6.1D598B0033,113,10.95,RBS,F,R,10:25:52,10:31:02,11:10:08,0:05:10,0:39:06,,,,,,,,,
20191202,12/2/2019,2,19.4,19.8,19.6,2,3D6.1D593D5F1D,132,13.03,FMS,F,R,10:25:40,10:31:02,11:10:08,0:05:22,0:39:06,,,,,,,,,
20191202,12/2/2019,2,19.4,19.8,19.6,3,3D6.1D598B0137,90,4.46,FMS,R,F,10:25:44,10:31:02,11:10:08,0:05:18,0:39:06,,,,,,,,,
20191202,12/2/2019,2,19.4,19.8,19.6,4,3D6.1D598AFFEF,86,4.72,RBS,F,R,10:26:00,10:31:02,11:10:08,0:05:02,0:39:06,,,,,,,,,
20191213,12/13/2019,1,19.5,20.2,20,1,3D6.1D598B00E4,99,6.23,FMS,F,R,9:33:18,9:38:50,10:15:36,0:05:32,0:36:46,,,,,,,,,
